,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation,min_unfairness_vals
231,0,1.1500000000000001,Test,0.5370000004768372,0.0,1904.7764892578125,-2214.533203125,0.0
233,0,1.16,Test,0.5370000004768372,4.5037741051190407e-38,2029.5272216796875,-2353.225341796875,0.0
217,0,1.08,Test,0.5370000004768372,0.0,1508.554931640625,-1761.7232666015625,0.0
229,0,1.1400000000000001,Test,0.5370000004768372,0.0,1783.7919921875,-2080.64208984375,0.0
199,0,0.99,Test,0.5370000004768372,0.0,1171.46337890625,-1364.14208984375,0.0
195,0,0.97,Test,0.5370000004768372,0.0,1096.8299560546875,-1276.0826416015625,0.0
155,0,0.77,Test,0.5370000004768372,5.62902689046782e-35,351.6368713378906,-396.73004150390625,0.0
153,0,0.76,Test,0.5370000004768372,3.5219914885523706e-32,314.4004821777344,-352.78826904296875,0.0
151,0,0.75,Test,0.5370000004768372,2.2014576952030272e-29,277.16497802734375,-308.84771728515625,0.0
149,0,0.74,Test,0.5370000004768372,1.3742788970686e-26,239.9299774169922,-264.90765380859375,0.0
147,0,0.73,Test,0.5370000004768372,8.56685903674466e-24,202.69601440429688,-220.96896362304688,0.0
197,0,0.98,Test,0.5370000004768372,0.0,1134.140625,-1320.1063232421875,0.0
157,0,0.78,Test,0.5370000004768372,8.986002405570009e-38,388.8746643066406,-440.67315673828125,0.0
143,0,0.71,Test,0.5370000004768372,3.3099293067258256e-18,128.23025512695312,-133.0937042236328,0.0
139,0,0.6900000000000001,Test,0.5370000004768372,2.4861774965134753e-13,79.6681900024414,-79.05310821533203,0.0
137,0,0.68,Test,0.5370000004768372,3.802001768971053e-11,64.65821838378906,-64.14268493652344,0.0
135,0,0.67,Test,0.5370000004768372,5.784809076203601e-09,49.667076110839844,-49.25676345825195,0.0
133,0,0.66,Test,0.5370000004768372,8.734245966479648e-07,34.68484878540039,-34.382530212402344,0.0
131,0,0.65,Test,0.5370000004768372,0.00013041077181696892,19.708555221557617,-19.51467514038086,0.0
129,0,0.64,Test,0.5370000004768372,0.01500806212425232,4.881261825561523,-4.632471084594727,0.0
141,0,0.7000000000000001,Test,0.5370000004768372,1.6171015163057596e-15,94.77037811279297,-94.083984375,0.0
159,0,0.79,Test,0.5370000004768372,0.0,426.1134338378906,-484.6176452636719,0.0
145,0,0.72,Test,0.5370000004768372,5.3307541484880496e-21,165.46295166015625,-177.03114318847656,0.0
163,0,0.81,Test,0.5370000004768372,0.0,500.5951843261719,-572.5111694335938,0.0
193,0,0.96,Test,0.5370000004768372,0.0,1059.5283203125,-1232.0689697265625,0.0
191,0,0.9500000000000001,Test,0.5370000004768372,0.0,1022.2352905273438,-1188.0653076171875,0.0
189,0,0.9400000000000001,Test,0.5370000004768372,0.0,984.9496459960938,-1144.0689697265625,0.0
187,0,0.93,Test,0.5370000004768372,0.0,947.66943359375,-1100.07861328125,0.0
185,0,0.92,Test,0.5370000004768372,0.0,910.395263671875,-1056.094970703125,0.0
183,0,0.91,Test,0.5370000004768372,0.0,873.1251220703125,-1012.1152954101562,0.0
181,0,0.9,Test,0.5370000004768372,0.0,835.8597412109375,-968.141357421875,0.0
179,0,0.89,Test,0.5370000004768372,0.0,798.5972290039062,-924.1698608398438,0.0
177,0,0.88,Test,0.5370000004768372,0.0,761.337890625,-880.202880859375,0.0
175,0,0.87,Test,0.5370000004768372,0.0,724.082275390625,-836.2394409179688,0.0
173,0,0.86,Test,0.5370000004768372,0.0,686.8295288085938,-792.2794799804688,0.0
171,0,0.85,Test,0.5370000004768372,0.0,649.578125,-748.3206787109375,0.0
169,0,0.84,Test,0.5370000004768372,0.0,612.3299560546875,-704.365234375,0.0
167,0,0.8300000000000001,Test,0.5370000004768372,0.0,575.0831909179688,-660.412109375,0.0
165,0,0.8200000000000001,Test,0.5370000004768372,0.0,537.8386840820312,-616.461181640625,0.0
161,0,0.8,Test,0.5370000004768372,0.0,463.35345458984375,-528.5634155273438,0.0
121,0,0.6,Test,0.5450000166893005,0.012812674045562744,0.719228208065033,-0.0426335483789444,0.0018262267112731934
127,0,0.63,Test,0.5450000166893005,0.031181126832962036,0.8091973662376404,-0.15546241402626038,0.0018262267112731934
125,0,0.62,Test,0.5450000166893005,0.024835646152496338,0.7637746930122375,-0.09982471168041229,0.0018262267112731934
123,0,0.61,Test,0.5460000038146973,0.018706470727920532,0.737503170967102,-0.0665835589170456,0.0018262267112731934
119,0,0.59,Test,0.5509999990463257,0.007340580224990845,0.7060387134552002,-0.024515626952052116,0.0018262267112731934
117,0,0.58,Test,0.5590000152587891,0.002461344003677368,0.6965044736862183,-0.010605774819850922,0.0018262267112731934
115,0,0.5700000000000001,Test,0.5709999799728394,0.0018262267112731934,0.6894462704658508,0.0003770141920540482,0.0018262267112731934
113,0,0.56,Test,0.5709999799728394,0.005648523569107056,0.6839446425437927,0.009459961205720901,0.005648523569107056
111,0,0.55,Test,0.5799999833106995,0.009129166603088379,0.6794320344924927,0.01730462722480297,0.009129166603088379
109,0,0.54,Test,0.5860000252723694,0.012354463338851929,0.6755839586257935,0.024305421859025955,0.012354463338851929
107,0,0.53,Test,0.5879999995231628,0.01537996530532837,0.6722115278244019,0.03069915995001793,0.01537996530532837
105,0,0.52,Test,0.5929999947547913,0.018246173858642578,0.6691938042640686,0.03664465621113777,0.018246173858642578
