,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation
521,0,1.04,Test,0.5057263374328613,-0.48766911029815674,144248.640625,-430272.875
522,1,1.04,Train,0.49960410594940186,-0.4838089346885681,36017.3515625,-108586.0546875
523,1,1.04,Test,0.49226441979408264,-0.4797413647174835,35911.29296875,-106985.609375
524,2,1.04,Train,0.4963875710964203,-0.4754794239997864,35225.39453125,-105481.7109375
525,2,1.04,Test,0.4935704171657562,-0.49769389629364014,34063.37890625,-106332.8125
526,3,1.04,Train,0.4971298575401306,-0.47789597511291504,36455.18359375,-109915.9453125
527,3,1.04,Test,0.4981916844844818,-0.4865725338459015,36580.546875,-110366.71875
528,4,1.04,Train,0.5060867071151733,-0.4832518696784973,71254.4296875,-217584.03125
529,4,1.04,Test,0.49326902627944946,-0.45572733879089355,73837.5625,-215400.484375
530,0,1.06,Train,0.49742674827575684,-0.4729174077510834,150089.0625,-453794.5625
531,0,1.06,Test,0.5025115609169006,-0.4888477921485901,153747.5625,-456322.375
532,1,1.06,Train,0.4968824088573456,-0.4859660863876343,38367.234375,-115148.0234375
533,1,1.06,Test,0.4896523952484131,-0.48333001136779785,38258.2109375,-113429.46875
534,2,1.06,Train,0.4943091869354248,-0.4764699935913086,37587.72265625,-111933.9453125
535,2,1.06,Test,0.49085795879364014,-0.4992070198059082,36347.3359375,-112860.5859375
536,3,1.06,Train,0.4971793293952942,-0.47782284021377563,36455.19140625,-109915.9609375
537,3,1.06,Test,0.4981916844844818,-0.4865725338459015,36580.55078125,-110366.7265625
538,4,1.06,Train,0.5060867071151733,-0.4832518696784973,71254.4453125,-217584.0625
539,4,1.06,Test,0.49326902627944946,-0.45572733879089355,73837.5703125,-215400.5
540,0,1.08,Train,0.49742674827575684,-0.4729174077510834,150089.0625,-453794.5625
541,0,1.08,Test,0.5025115609169006,-0.4888477921485901,153747.5625,-456322.375
542,1,1.08,Train,0.4968824088573456,-0.4859660863876343,38367.23828125,-115148.0234375
543,1,1.08,Test,0.4896523952484131,-0.48333001136779785,38258.21875,-113429.484375
544,2,1.08,Train,0.4943091869354248,-0.4764699935913086,37587.7265625,-111933.9609375
545,2,1.08,Test,0.49085795879364014,-0.4992070198059082,36347.33984375,-112860.5859375
546,3,1.08,Train,0.49455660581588745,-0.4808138608932495,38793.53125,-116391.84375
547,3,1.08,Test,0.49557965993881226,-0.48742133378982544,38926.9375,-116879.015625
548,4,1.08,Train,0.5017319917678833,-0.4864334762096405,78237.234375,-237227.953125
549,4,1.08,Test,0.48995378613471985,-0.4583452343940735,81084.375,-234835.265625
550,0,1.1,Train,0.49490299820899963,-0.475563645362854,159464.890625,-479763.5625
551,0,1.1,Test,0.5006027817726135,-0.48999306559562683,163291.75,-482420.03125
552,1,1.1,Train,0.4941607415676117,-0.4866078794002533,40735.99609375,-121727.78125
553,1,1.1,Test,0.48724129796028137,-0.4827997088432312,40625.01953125,-119890.6171875
554,2,1.1,Train,0.4918349087238312,-0.48027104139328003,39961.07421875,-118397.0
555,2,1.1,Test,0.487743616104126,-0.5026806592941284,38643.3125,-119400.234375
556,3,1.1,Train,0.49455660581588745,-0.4808138608932495,38793.5390625,-116391.84375
557,3,1.1,Test,0.49557965993881226,-0.48742133378982544,38926.9375,-116879.0
558,4,1.1,Train,0.5017319917678833,-0.4864334762096405,78237.2421875,-237227.953125
559,4,1.1,Test,0.48995378613471985,-0.4583452343940735,81084.3671875,-234835.296875
560,0,1.12,Train,0.49490299820899963,-0.475563645362854,159464.890625,-479763.5625
561,0,1.12,Test,0.5006027817726135,-0.48999306559562683,163291.75,-482420.03125
